### description, bullard_sense_option, z_top, z_base, R_T_fit_option, q, sigma_q, q_round, sigma_q_round, Q, sigma_Q, Q_round, sigma_Q_round, c, sigma_c, c_round, sigma_c_round, invq, sigma_invq, invc, sigma_invc
### values, upward, 6.120000, 339.780000, T_versus_R, 0.050501, 0.000401, 0.050500, 0.000400, 50.500559, 0.401003, 50.500000, 0.400000, 19.601470, 0.046120, 19.600000, 0.050000, nan, nan, nan, nan
zTk_m,zTk_error_m,T,T_error,R1_downward,sigma_R1_downward
174.48,0.03,14.85,0.25,120.89242473919492,8.380353168668591
177.54,0.03,14.96,0.25,122.40263345062868,8.38672544453903
180.6,0.03,15.07,0.25,124.17240117981079,8.492509773918878
183.67,0.03,15.18,0.25,126.56584882218678,8.59443518334713
186.73,0.03,15.28,0.25,128.9153411418952,8.596780012756101
189.79,0.03,15.37,0.25,130.95934615512454,8.690100099665132
192.85,0.03,15.46,0.25,133.06128413962068,8.699326958734792
195.91,0.03,15.53,0.25,134.6036754439685,8.830832522095715
198.97,0.03,15.59,0.25,135.9341102265772,8.854063478519485
202.03,0.03,15.66,0.25,137.5360297455411,9.003697624544268
205.09,0.03,15.73,0.25,138.72361584687283,9.006450007211058
208.15,0.03,15.75,0.25,139.27947042791388,9.014545000648392
211.22,0.03,15.8,0.25,140.23112324813286,9.099260843962648
214.28,0.03,15.89,0.25,141.5948189131984,9.180532998186514
217.34,0.03,15.97,0.25,142.9509540261828,9.252247570109349
220.4,0.03,16.05,0.25,144.35601174051888,9.323508991983301
223.46,0.03,16.16,0.25,145.87772477540096,9.428352547307211
226.52,0.03,16.25,0.25,147.33593296527715,9.43948221056805
229.58,0.03,16.34,0.25,148.79136968541977,9.549155236337937
232.64,0.03,16.43,0.25,150.27028726871322,9.554367253568396
235.7,0.03,16.54,0.25,152.36274942178304,9.665630537411355
238.77,0.03,16.64,0.25,153.96289309994395,9.784624423322704
241.83,0.03,16.73,0.25,155.91324691744862,9.790937920077578
244.89,0.03,16.82,0.25,157.57862334735017,9.892528174877572
247.95,0.03,16.93,0.25,159.1554090616359,10.005343407016275
251.01,0.03,17.02,0.25,160.98040193303598,10.012065858781702
254.07,0.03,17.1,0.25,162.81273726237728,10.117350417169229
257.13,0.03,17.21,0.25,164.89087265825222,10.127506682269345
260.19,0.03,17.32,0.25,166.64674163563666,10.22716381651246
263.25,0.03,17.42,0.25,168.18318917040278,10.332802939317475
266.31,0.03,17.52,0.25,169.84862218298605,10.340002727055227
269.38,0.03,17.63,0.25,171.1344712719611,10.435453712030581
272.44,0.03,17.74,0.25,172.84490660503474,10.439414325494273
275.5,0.03,17.85,0.25,174.77070874407215,10.502546093979978
278.56,0.03,17.94,0.25,176.6136294103624,10.563442582120294
281.62,0.03,18.03,0.25,178.52591151815642,10.639274627718303
284.68,0.03,18.12,0.25,180.50010506654354,10.643131802867137
287.74,0.03,18.2,0.25,182.3042967924411,10.74764965389085
290.8,0.03,18.29,0.25,184.21113112814368,10.862214676492467
293.86,0.03,18.38,0.25,186.0536480073635,10.869752771266448
296.93,0.03,18.48,0.25,187.66442458543656,10.975219742246109
299.99,0.03,18.57,0.25,189.18086847808235,10.988436153935595
303.05,0.03,18.66,0.25,190.72088592309518,11.012844702364584
306.11,0.03,18.76,0.25,192.07462098285615,11.048505426712461
309.17,0.03,18.83,0.25,194.05863807687325,11.095078866335562
312.23,0.03,18.94,0.25,196.13333149939274,11.152525119768525
315.29,0.03,19.03,0.25,197.781399132243,11.220677192339172
318.35,0.03,19.12,0.25,199.44289645844617,11.299341368993314
321.41,0.03,19.23,0.25,201.56610682296085,11.388299816133992
324.48,0.03,19.32,0.25,204.2073490589857,11.487313377897461
327.54,0.03,19.41,0.25,205.95592048755714,11.596124490218147
330.6,0.03,19.51,0.25,207.97092048755712,11.714460139246826
333.66,0.03,19.61,0.25,209.8150852026235,11.842466532138852
336.72,0.03,19.7,0.25,211.54079948833777,11.979013744170471
339.78,0.03,19.79,0.25,212.9045902644907,12.124201648437388
