> downward T_versus_R 0.070588 0.000559 0.070600 0.000600 70.587746 0.559137 70.600000 0.600000 9.274770 0.048653 9.270000 0.050000 nan nan nan nan
> downward R_versus_T 0.067564 0.007840 0.068000 0.008000 67.563931 7.839744 68.000000 8.000000 nan nan nan nan 14.800797 1.717402 -147.321990 18.212184
> upward T_versus_R 0.070588 0.000559 0.070600 0.000600 70.587746 0.559137 70.600000 0.600000 19.794202 0.047350 19.790000 0.050000 nan nan nan nan
> upward R_versus_T 0.070368 0.006222 0.070000 0.006000 70.368051 6.221905 70.000000 6.000000 nan nan nan nan -14.210995 1.256528 281.235598 24.866632
T,T_error,R1_downward,sigma_R1_downward,T_rev,T_error_rev,R1_upward,sigma_R1_upward
18.57,0.25,131.5745614035088,131.5745614035088,10.56,0.25,128.88596491228068,119.44738630026829
18.66,0.25,132.91666666666669,132.91666666666669,10.49,0.25,130.2280701754386,120.69120647881056
18.76,0.25,134.25877192982458,134.25877192982458,10.42,0.25,131.57456140350877,121.93909142933123
18.83,0.25,135.60087719298247,135.60087719298247,10.37,0.25,132.91666666666666,123.18291160817411
18.94,0.25,136.94298245614038,136.94298245614038,10.31,0.25,134.25877192982455,124.1280708176003
19.03,0.25,138.28508771929828,138.28508771929828,10.26,0.25,135.60087719298244,124.13963784793805
19.12,0.25,139.62719298245617,139.62719298245617,10.24,0.25,136.94298245614036,124.16366450151786
19.23,0.25,140.96929824561406,140.96929824561406,10.21,0.25,138.28508771929825,124.20014354735672
19.32,0.25,142.31578947368422,142.31578947368422,10.19,0.25,139.62719298245614,124.24906401753215
19.41,0.25,143.65789473684214,143.65789473684214,10.16,0.25,140.96929824561403,124.31041122364549
19.51,0.25,145.00000000000003,145.00000000000003,10.12,0.25,142.31140350877192,124.38416677881935
19.61,0.25,146.34210526315792,146.34210526315792,10.08,0.25,143.6578947368421,124.47061041249039
19.7,0.25,147.6842105263158,147.6842105263158,10.1,0.25,145.0,124.5691532018996
19.79,0.25,149.0263157894737,149.0263157894737,10.68,0.25,146.3421052631579,124.6800271885155
