### description, bullard_sense_option, z_top, z_base, R_T_fit_option, q, sigma_q, q_round, sigma_q_round, Q, sigma_Q, Q_round, sigma_Q_round, c, sigma_c, c_round, sigma_c_round, invq, sigma_invq, invc, sigma_invc
### values, upward, 6.120000, 339.780000, T_versus_R, 0.070588, 0.000559, 0.070600, 0.000600, 70.587746, 0.559137, 70.600000, 0.600000, 19.794202, 0.047350, 19.790000, 0.050000, nan, nan, nan, nan
zTk_m,zTk_error_m,T,T_error,R1_downward,sigma_R1_downward
177.54,0.03,14.96,0.25,77.86842105263158,69.6783202900688
180.6,0.03,15.07,0.25,79.21052631578948,70.92214045429165
183.67,0.03,15.18,0.25,80.55701754385964,72.16596061926556
186.73,0.03,15.28,0.25,81.89912280701755,73.40978078495235
189.79,0.03,15.37,0.25,83.24122807017544,74.65360095131639
192.85,0.03,15.46,0.25,84.58333333333334,75.90148589011302
195.91,0.03,15.53,0.25,85.92543859649123,77.14530605773578
198.97,0.03,15.59,0.25,87.26754385964912,78.38912622594208
202.03,0.03,15.66,0.25,88.60964912280703,79.63294639470459
205.09,0.03,15.73,0.25,89.95175438596492,80.87676656399763
208.15,0.03,15.75,0.25,91.29385964912282,82.12058673379711
211.22,0.03,15.8,0.25,92.64035087719299,83.36440690408031
214.28,0.03,15.89,0.25,93.98245614035089,84.60822707482599
217.34,0.03,15.97,0.25,95.32456140350878,85.85204724601398
220.4,0.03,16.05,0.25,96.66666666666667,87.09993218942866
223.46,0.03,16.16,0.25,98.00877192982458,88.34375236144682
226.52,0.03,16.25,0.25,99.35087719298247,89.5875725338535
229.58,0.03,16.34,0.25,100.69298245614037,90.8313927066328
232.64,0.03,16.43,0.25,102.03508771929825,92.0752128797696
235.7,0.03,16.54,0.25,103.37719298245615,93.31903305324957
238.77,0.03,16.64,0.25,104.72368421052633,94.5628532270592
241.83,0.03,16.73,0.25,106.06578947368422,95.8066734011856
244.89,0.03,16.82,0.25,107.40789473684211,97.05049357561668
247.95,0.03,16.93,0.25,108.75,98.2983785221541
251.01,0.03,17.02,0.25,110.0921052631579,99.54219869716123
254.07,0.03,17.1,0.25,111.4342105263158,100.78601887243995
257.13,0.03,17.21,0.25,112.77631578947368,102.02983904798035
260.19,0.03,17.32,0.25,114.11842105263159,103.27365922377292
263.25,0.03,17.42,0.25,115.46052631578948,104.51747939980874
266.31,0.03,17.52,0.25,116.80263157894738,105.76129957607917
269.38,0.03,17.63,0.25,118.14912280701755,107.00511975257609
272.44,0.03,17.74,0.25,119.49122807017545,108.24893992929161
275.5,0.03,17.85,0.25,120.83333333333334,109.49276010621834
278.56,0.03,17.94,0.25,122.17543859649123,110.74064505517013
281.62,0.03,18.03,0.25,123.51754385964914,111.98446523249885
284.68,0.03,18.12,0.25,124.85964912280703,113.22828541001827
287.74,0.03,18.2,0.25,126.20175438596493,114.4721055877223
290.8,0.03,18.29,0.25,127.54385964912282,115.71592576560485
293.86,0.03,18.38,0.25,128.8859649122807,116.95974594366034
296.93,0.03,18.48,0.25,130.2324561403509,118.20356612188321
299.99,0.03,18.57,0.25,131.5745614035088,119.44738630026829
303.05,0.03,18.66,0.25,132.91666666666669,120.69120647881056
306.11,0.03,18.76,0.25,134.25877192982458,121.93909142933123
309.17,0.03,18.83,0.25,135.60087719298247,123.18291160817411
312.23,0.03,18.94,0.25,136.94298245614038,123.92494302236683
315.29,0.03,19.03,0.25,138.28508771929828,123.93632504137801
318.35,0.03,19.12,0.25,139.62719298245617,123.96018717208197
321.41,0.03,19.23,0.25,140.96929824561406,123.99652220938836
324.48,0.03,19.32,0.25,142.31578947368422,124.0453191927021
327.54,0.03,19.41,0.25,143.65789473684214,124.10656342242987
330.6,0.03,19.51,0.25,145.00000000000003,124.18023648206717
333.66,0.03,19.61,0.25,146.34210526315792,124.266617883736
336.72,0.03,19.7,0.25,147.6842105263158,124.36511904384625
339.78,0.03,19.79,0.25,149.0263157894737,124.47597168380689
