### Input data: /Users/alex/Documents/newcastle_postdoc/nelep_heat_flow_project/nelep_heat_flow_data/climate_histories/goddard_climate_history_1880to2019/calculated_data/ZonAnn.Ts+dSST_smoothedboxcar9.csv
### Cut off at year 1983
recent_climtemp_year_smoothing_cutoff_cut,recent_climtemp_sigma_year_smoothing_cutoff_cut,recent_climtemp_t0_seconds_smoothing_cutoff_cut,recent_climtemp_sigma_t0_seconds_smoothing_cutoff_cut,recent_climtemp_t1_seconds_smoothing_cutoff_cut,recent_climtemp_sigma_t1_seconds_smoothing_cutoff_cut,recent_climtemp_deltaTs_smoothed_cut,recent_climtemp_sigma_deltaTs_smoothed_cut
1905.0,0.5,2461422600.0,15778350.000000002,2429865900.0,15778350.000000002,-0.4066666666666666,0.1
1906.0,0.5,2429865900.0,15778350.000000002,2398309200.0,15778350.000000002,-0.42111111111111105,0.1
1907.0,0.5,2398309200.0,15778350.000000002,2366752500.0,15778350.000000002,-0.4111111111111111,0.1
1908.0,0.5,2366752500.0,15778350.000000002,2335195800.0,15778350.000000002,-0.4522222222222222,0.1
1909.0,0.5,2335195800.0,15778350.000000002,2303639100.0,15778350.000000002,-0.42333333333333334,0.1
1910.0,0.5,2303639100.0,15778350.000000002,2272082400.0,15778350.000000002,-0.41666666666666663,0.1
1911.0,0.5,2272082400.0,15778350.000000002,2240525700.0,15778350.000000002,-0.4288888888888889,0.1
1912.0,0.5,2240525700.0,15778350.000000002,2208969000.0,15778350.000000002,-0.4088888888888889,0.1
1913.0,0.5,2208969000.0,15778350.000000002,2177412300.0,15778350.000000002,-0.4033333333333333,0.1
1914.0,0.5,2177412300.0,15778350.000000002,2145855600.0000002,15778350.000000002,-0.36444444444444446,0.1
1915.0,0.5,2145855600.0000002,15778350.000000002,2114298900.0,15778350.000000002,-0.4,0.1
1916.0,0.5,2114298900.0,15778350.000000002,2082742200.0000002,15778350.000000002,-0.3766666666666667,0.1
1917.0,0.5,2082742200.0000002,15778350.000000002,2051185500.0,15778350.000000002,-0.27111111111111114,0.1
1918.0,0.5,2051185500.0,15778350.000000002,2019628800.0000002,15778350.000000002,-0.27888888888888896,0.1
1919.0,0.5,2019628800.0000002,15778350.000000002,1988072100.0000002,15778350.000000002,-0.2777777777777778,0.1
1920.0,0.5,1988072100.0000002,15778350.000000002,1956515400.0,15778350.000000002,-0.2866666666666667,0.1
1921.0,0.5,1956515400.0,15778350.000000002,1924958700.0000002,15778350.000000002,-0.20666666666666667,0.1
1922.0,0.5,1924958700.0000002,15778350.000000002,1893402000.0,15778350.000000002,-0.13444444444444442,0.1
1923.0,0.5,1893402000.0,15778350.000000002,1861845300.0000002,15778350.000000002,-0.1288888888888889,0.1
1924.0,0.5,1861845300.0000002,15778350.000000002,1830288600.0,15778350.000000002,-0.08666666666666668,0.1
1925.0,0.5,1830288600.0,15778350.000000002,1798731900.0000002,15778350.000000002,-0.13222222222222224,0.1
1926.0,0.5,1798731900.0000002,15778350.000000002,1767175200.0,15778350.000000002,-0.14666666666666667,0.1
1927.0,0.5,1767175200.0,15778350.000000002,1735618500.0000002,15778350.000000002,-0.10666666666666667,0.1
1928.0,0.5,1735618500.0000002,15778350.000000002,1704061800.0,15778350.000000002,-0.06888888888888887,0.1
1929.0,0.5,1704061800.0,15778350.000000002,1672505100.0000002,15778350.000000002,-0.09333333333333332,0.1
1930.0,0.5,1672505100.0000002,15778350.000000002,1640948400.0,15778350.000000002,-0.07888888888888887,0.1
1931.0,0.5,1640948400.0,15778350.000000002,1609391700.0000002,15778350.000000002,-0.10222222222222219,0.1
1932.0,0.5,1609391700.0000002,15778350.000000002,1577835000.0,15778350.000000002,-0.06777777777777777,0.1
1933.0,0.5,1577835000.0,15778350.000000002,1546278300.0000002,15778350.000000002,-0.046666666666666655,0.1
1934.0,0.5,1546278300.0000002,15778350.000000002,1514721600.0,15778350.000000002,0.06333333333333334,0.1
1935.0,0.5,1514721600.0,15778350.000000002,1483164900.0000002,15778350.000000002,0.09,0.1
1936.0,0.5,1483164900.0000002,15778350.000000002,1451608200.0,15778350.000000002,0.09111111111111111,0.1
1937.0,0.5,1451608200.0,15778350.000000002,1420051500.0000002,15778350.000000002,0.05888888888888889,0.1
1938.0,0.5,1420051500.0000002,15778350.000000002,1388494800.0,15778350.000000002,0.10333333333333333,0.1
1939.0,0.5,1388494800.0,15778350.000000002,1356938100.0000002,15778350.000000002,0.0988888888888889,0.1
1940.0,0.5,1356938100.0000002,15778350.000000002,1325381400.0,15778350.000000002,0.15555555555555556,0.1
1941.0,0.5,1325381400.0,15778350.000000002,1293824700.0000002,15778350.000000002,0.14111111111111113,0.1
1942.0,0.5,1293824700.0000002,15778350.000000002,1262268000.0,15778350.000000002,0.13222222222222224,0.1
1943.0,0.5,1262268000.0,15778350.000000002,1230711300.0,15778350.000000002,0.07444444444444445,0.1
1944.0,0.5,1230711300.0,15778350.000000002,1199154600.0,15778350.000000002,0.07777777777777778,0.1
1945.0,0.5,1199154600.0,15778350.000000002,1167597900.0,15778350.000000002,0.09888888888888887,0.1
1946.0,0.5,1167597900.0,15778350.000000002,1136041200.0,15778350.000000002,0.07555555555555554,0.1
1947.0,0.5,1136041200.0,15778350.000000002,1104484500.0,15778350.000000002,0.08333333333333333,0.1
1948.0,0.5,1104484500.0,15778350.000000002,1072927800.0000001,15778350.000000002,0.04222222222222222,0.1
1949.0,0.5,1072927800.0000001,15778350.000000002,1041371100.0000001,15778350.000000002,0.028888888888888884,0.1
1950.0,0.5,1041371100.0000001,15778350.000000002,1009814400.0000001,15778350.000000002,0.007777777777777776,0.1
1951.0,0.5,1009814400.0000001,15778350.000000002,978257700.0,15778350.000000002,0.0011111111111111148,0.1
1952.0,0.5,978257700.0,15778350.000000002,946701000.0,15778350.000000002,-0.03666666666666667,0.1
1953.0,0.5,946701000.0,15778350.000000002,915144300.0,15778350.000000002,-0.04777777777777777,0.1
1954.0,0.5,915144300.0,15778350.000000002,883587600.0,15778350.000000002,-0.05111111111111112,0.1
1955.0,0.5,883587600.0,15778350.000000002,852030900.0,15778350.000000002,0.0022222222222222227,0.1
1956.0,0.5,852030900.0,15778350.000000002,820474200.0,15778350.000000002,-0.006666666666666667,0.1
1957.0,0.5,820474200.0,15778350.000000002,788917500.0,15778350.000000002,0.04555555555555556,0.1
1958.0,0.5,788917500.0,15778350.000000002,757360800.0,15778350.000000002,0.04111111111111112,0.1
1959.0,0.5,757360800.0,15778350.000000002,725804100.0,15778350.000000002,0.09888888888888889,0.1
1960.0,0.5,725804100.0,15778350.000000002,694247400.0,15778350.000000002,0.08888888888888888,0.1
1961.0,0.5,694247400.0,15778350.000000002,662690700.0,15778350.000000002,0.11444444444444443,0.1
1962.0,0.5,662690700.0,15778350.000000002,631134000.0,15778350.000000002,0.06888888888888889,0.1
1963.0,0.5,631134000.0,15778350.000000002,599577300.0,15778350.000000002,0.0822222222222222,0.1
1964.0,0.5,599577300.0,15778350.000000002,568020600.0,15778350.000000002,0.05999999999999999,0.1
1965.0,0.5,568020600.0,15778350.000000002,536463900.00000006,15778350.000000002,-1.3877787807814457e-17,0.1
1966.0,0.5,536463900.00000006,15778350.000000002,504907200.00000006,15778350.000000002,-0.05666666666666666,0.1
1967.0,0.5,504907200.00000006,15778350.000000002,473350500.0,15778350.000000002,-0.09,0.1
1968.0,0.5,473350500.0,15778350.000000002,441793800.0,15778350.000000002,-0.17666666666666667,0.1
1969.0,0.5,441793800.0,15778350.000000002,410237100.0,15778350.000000002,-0.12444444444444444,0.1
1970.0,0.5,410237100.0,15778350.000000002,378680400.0,15778350.000000002,-0.10555555555555554,0.1
1971.0,0.5,378680400.0,15778350.000000002,347123700.0,15778350.000000002,-0.0411111111111111,0.1
1972.0,0.5,347123700.0,15778350.000000002,315567000.0,15778350.000000002,-0.10555555555555554,0.1
1973.0,0.5,315567000.0,15778350.000000002,284010300.0,15778350.000000002,-0.07666666666666666,0.1
1974.0,0.5,284010300.0,15778350.000000002,252453600.00000003,15778350.000000002,-0.0055555555555555506,0.1
1975.0,0.5,252453600.00000003,15778350.000000002,220896900.0,15778350.000000002,0.015555555555555557,0.1
1976.0,0.5,220896900.0,15778350.000000002,189340200.0,15778350.000000002,0.016666666666666666,0.1
1977.0,0.5,189340200.0,15778350.000000002,157783500.0,15778350.000000002,0.15555555555555556,0.1
1978.0,0.5,157783500.0,15778350.000000002,126226800.00000001,15778350.000000002,0.13555555555555557,0.1
1979.0,0.5,126226800.00000001,15778350.000000002,94670100.0,15778350.000000002,0.22,0.1
1980.0,0.5,94670100.0,15778350.000000002,63113400.00000001,15778350.000000002,0.18555555555555553,0.1
1981.0,0.5,63113400.00000001,15778350.000000002,31556700.000000004,15778350.000000002,0.19111111111111112,0.1
1982.0,0.5,31556700.000000004,15778350.000000002,1000000.0,15778350.000000002,0.19555555555555554,0.1
